Location,Name,Frequency,Duplex,Offset,Tone,rToneFreq,cToneFreq,DtcsCode,DtcsPolarity,RxDtcsCode,CrossMode,Mode,TStep,Skip,Power,Comment,URCALL,RPT1CALL,RPT2CALL,DVCODE
34,LPD 34,433.900000,,0.600000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,50W,,,,,
35,LPD 35,433.925000,,0.600000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,50W,,,,,
36,LPD 36,433.950000,,0.600000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,50W,,,,,
37,LPD 37,433.975000,,0.600000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,50W,,,,,
38,LPD 38,434.000000,,0.600000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,50W,,,,,
39,LPD 39,434.025000,,0.600000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,50W,,,,,
40,LPD 40,434.050000,,0.600000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,50W,,,,,
41,LPD 41,434.075000,,0.600000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,50W,,,,,
42,LPD 42,434.100000,,0.600000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,50W,,,,,
43,LPD 43,434.125000,,0.600000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,50W,,,,,
44,LPD 44,434.150000,,0.600000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,50W,,,,,
45,LPD 45,434.175000,,0.600000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,50W,,,,,
46,LPD 46,434.200000,,0.600000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,50W,,,,,
47,LPD 47,434.225000,,0.600000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,50W,,,,,
48,LPD 48,434.250000,,0.600000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,50W,,,,,
49,LPD 49,434.275000,,0.600000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,50W,,,,,
50,LPD 50,434.300000,,0.600000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,50W,,,,,
51,LPD 51,434.325000,,0.600000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,50W,,,,,
52,LPD 52,434.350000,,0.600000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,50W,,,,,
53,LPD 53,434.375000,,0.600000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,50W,,,,,
54,LPD 54,434.400000,,0.600000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,50W,,,,,
55,LPD 55,434.425000,,0.600000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,50W,,,,,
56,LPD 56,434.450000,,0.600000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,50W,,,,,
57,LPD 57,434.475000,,0.600000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,50W,,,,,
58,LPD 58,434.500000,,0.600000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,50W,,,,,
59,LPD 59,434.525000,,0.600000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,50W,,,,,
60,LPD 60,434.550000,,0.600000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,50W,,,,,
61,LPD 61,434.575000,,0.600000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,50W,,,,,
62,LPD 62,434.600000,,0.600000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,50W,,,,,
63,LPD 63,434.625000,,0.600000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,50W,,,,,
64,LPD 64,434.650000,,0.600000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,50W,,,,,
65,LPD 65,434.675000,,0.600000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,50W,,,,,
66,LPD 66,434.700000,,0.600000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,50W,,,,,
67,LPD 67,434.725000,,0.600000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,50W,,,,,
68,LPD 68,434.750000,,0.600000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,50W,,,,,
69,LPD 69,434.775000,,0.600000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,50W,,,,,
71,PMR 01,446.006250,,0.600000,,88.5,88.5,023,NN,023,Tone->Tone,NFM,6.25,,50W,,,,,
72,PMR 02,446.018750,,0.600000,,88.5,88.5,023,NN,023,Tone->Tone,NFM,6.25,,50W,,,,,
73,PMR 03,446.031250,,0.600000,,88.5,88.5,023,NN,023,Tone->Tone,NFM,6.25,,50W,,,,,
74,PMR 04,446.043750,,0.600000,,88.5,88.5,023,NN,023,Tone->Tone,NFM,6.25,,50W,,,,,
75,PMR 05,446.056250,,0.600000,,88.5,88.5,023,NN,023,Tone->Tone,NFM,6.25,,50W,,,,,
76,PMR 06,446.068750,,0.600000,,88.5,88.5,023,NN,023,Tone->Tone,NFM,6.25,,50W,,,,,
77,PMR 07,446.081250,,0.600000,,88.5,88.5,023,NN,023,Tone->Tone,NFM,6.25,,50W,,,,,
78,PMR 08,446.093750,,0.600000,,88.5,88.5,023,NN,023,Tone->Tone,NFM,6.25,,50W,,,,,
81,PMR 09,446.106250,,0.600000,,88.5,88.5,023,NN,023,Tone->Tone,NFM,6.25,,50W,,,,,
82,PMR 10,446.118750,,0.600000,,88.5,88.5,023,NN,023,Tone->Tone,NFM,6.25,,50W,,,,,
83,PMR 11,446.131250,,0.600000,,88.5,88.5,023,NN,023,Tone->Tone,NFM,6.25,,50W,,,,,
84,PMR 12,446.143750,,0.600000,,88.5,88.5,023,NN,023,Tone->Tone,NFM,6.25,,50W,,,,,
85,PMR 13,446.156250,,0.600000,,88.5,88.5,023,NN,023,Tone->Tone,NFM,6.25,,50W,,,,,
86,PMR 14,446.168750,,0.600000,,88.5,88.5,023,NN,023,Tone->Tone,NFM,6.25,,50W,,,,,
87,PMR 15,446.181250,,0.600000,,88.5,88.5,023,NN,023,Tone->Tone,NFM,6.25,,50W,,,,,
88,PMR 16,446.193750,,0.600000,,88.5,88.5,023,NN,023,Tone->Tone,NFM,6.25,,50W,,,,,
